Population,IRBB_Line,Frequency
AXoo01,IRBB4,1
AXoo01,IRBB5,1
AXoo01,IRBB7,0
AXoo01,IRBB10,0
AXoo01,IRBB13,0
AXoo01,IRBB14,0.6
AXoo01,IRBB21,1
AXoo02,IRBB4,0.833333333
AXoo02,IRBB5,1
AXoo02,IRBB7,1
AXoo02,IRBB10,1
AXoo02,IRBB13,0.2
AXoo02,IRBB14,0.833333333
AXoo02,IRBB21,1
AXoo03,IRBB4,0.551724138
AXoo03,IRBB5,1
AXoo03,IRBB7,1
AXoo03,IRBB10,0.75862069
AXoo03,IRBB13,0.103448276
AXoo03,IRBB14,0.206896552
AXoo03,IRBB21,1
AXoo04,IRBB4,0.787878788
AXoo04,IRBB5,1
AXoo04,IRBB7,0
AXoo04,IRBB10,0
AXoo04,IRBB13,0
AXoo04,IRBB14,0.96969697
AXoo04,IRBB21,0
AXoo05,IRBB4,0.25
AXoo05,IRBB5,1
AXoo05,IRBB7,0
AXoo05,IRBB10,0
AXoo05,IRBB13,0
AXoo05,IRBB14,0.916666667
AXoo05,IRBB21,0
AXoo06,IRBB4,0
AXoo06,IRBB5,0
AXoo06,IRBB7,0
AXoo06,IRBB10,0
AXoo06,IRBB13,1
AXoo06,IRBB14,0
AXoo06,IRBB21,1
AXoo07,IRBB4,0
AXoo07,IRBB5,0
AXoo07,IRBB7,0
AXoo07,IRBB10,0
AXoo07,IRBB13,0.8
AXoo07,IRBB14,0
AXoo07,IRBB21,0.2
AXoo08,IRBB4,1
AXoo08,IRBB5,1
AXoo08,IRBB7,0.454545455
AXoo08,IRBB10,0.272727273
AXoo08,IRBB13,0.272727273
AXoo08,IRBB14,0
AXoo08,IRBB21,1
AXoo09,IRBB4,0.266666667
AXoo09,IRBB5,0.3
AXoo09,IRBB7,0.2
AXoo09,IRBB10,0.066666667
AXoo09,IRBB13,0.8
AXoo09,IRBB14,0.307692308
AXoo09,IRBB21,0.533333333
AXoo10,IRBB4,0.659574468
AXoo10,IRBB5,0.989361702
AXoo10,IRBB7,0.875
AXoo10,IRBB10,0
AXoo10,IRBB13,0
AXoo10,IRBB14,0.290697674
AXoo10,IRBB21,0.9
AXoo11,IRBB4,0.416666667
AXoo11,IRBB5,1
AXoo11,IRBB7,0.5
AXoo11,IRBB10,0
AXoo11,IRBB13,0
AXoo11,IRBB14,0
AXoo11,IRBB21,1
AXoo12,IRBB4,0.395604396
AXoo12,IRBB5,0.923076923
AXoo12,IRBB7,0.58490566
AXoo12,IRBB10,0.037735849
AXoo12,IRBB13,0.075471698
AXoo12,IRBB14,0.16091954
AXoo12,IRBB21,0.727272727
Lineage_1,IRBB4,0.666666667
Lineage_1,IRBB5,1
Lineage_1,IRBB7,0.944444444
Lineage_1,IRBB10,0.75
Lineage_1,IRBB13,0.111111111
Lineage_1,IRBB14,0.35
Lineage_1,IRBB21,1
Lineage_2,IRBB4,0.457142857
Lineage_2,IRBB5,0.619047619
Lineage_2,IRBB7,0.186440678
Lineage_2,IRBB10,0.084745763
Lineage_2,IRBB13,0.728813559
Lineage_2,IRBB14,0.6375
Lineage_2,IRBB21,0.627118644
Lineage_3,IRBB4,0.52284264
Lineage_3,IRBB5,0.959390863
Lineage_3,IRBB7,0.602739726
Lineage_3,IRBB10,0.02739726
Lineage_3,IRBB13,0.054794521
Lineage_3,IRBB14,0.210810811
Lineage_3,IRBB21,0.792207792